cif,bg_hse
SM-10743,2.088778
SM-10744,1.387156
SM-10745,4.197526
SM-10746,4.693617
SM-10747,3.03595
SM-10748,2.074138
SM-10749,3.379195
SM-10750,2.279966
SM-10751,1.874215
SM-10752,1.96219
SM-10754,2.875283
SM-10755,2.881473
SM-10756,2.443941
SM-10757,2.493373
SM-10758,2.04707
SM-10760,4.027926
SM-10761,4.247861
SM-10762,3.090945
SM-10763,2.57987
SM-10764,3.558443
SM-10765,1.564451
SM-10767,3.366781
SM-10768,3.090082
SM-10769,2.492782
SM-10770,1.161688
SM-10771,1.557504
SM-10772,2.45492
SM-10773,3.462573
SM-10774,2.296546
SM-10775,1.753126
SM-10776,2.013179
SM-10777,2.736992
SM-10778,2.533825
SM-10779,1.633857
SM-10780,0.962017
SM-10781,1.366827
SM-10782,0.862569
SM-10783,1.683501
SM-10784,2.501266
SM-10785,3.176511
SM-10786,1.445563
SM-10787,1.578331
SM-10788,1.824434
SM-10789,3.296601
SM-10790,2.204082
SM-10791,2.062371
SM-10792,1.841762
SM-10794,0.85725
SM-10795,2.777439
SM-10797,1.936037
SM-10798,1.281025
SM-10799,2.646125
SM-1080,0.859571
SM-10800,1.880177
SM-10801,2.282968
SM-10802,2.954077
SM-10803,2.874943
SM-10804,2.127276
SM-10805,2.213423
SM-10806,0.533597
SM-10807,1.305034
SM-10808,3.640956
SM-10809,1.996988
SM-10810,1.353568
SM-10811,2.146425
SM-10812,2.339999
SM-10813,2.575568
SM-10814,1.610489
SM-10815,2.454055
SM-10816,1.645592
SM-10817,2.915628
SM-10818,3.03254
SM-10819,2.678355
SM-1082,0.357775
SM-10821,3.04552
SM-10822,1.640306
SM-10824,1.217172
SM-10826,2.263035
SM-10827,2.181977
SM-10828,0.488279
SM-10829,2.877482
SM-10830,2.686521
SM-10831,2.837173
SM-10832,3.194718
SM-10833,2.669727
SM-10834,1.719867
SM-10835,1.273395
SM-10836,2.985139
SM-10837,0.460209
SM-10838,1.645217
SM-10839,1.404802
SM-10840,2.143973
SM-10841,1.981923
SM-10842,1.672023
SM-10843,2.328891
SM-10844,2.535568
SM-10845,2.033874
SM-10846,1.367863
SM-10847,1.377387
SM-10848,0.737362
SM-10849,0.698811
SM-10850,1.03198
SM-10851,0.554334
SM-10852,4.159026
SM-10853,1.773953
SM-10854,3.248365
SM-10855,1.552175
SM-10860,3.35289
SM-10861,3.035312
SM-10862,3.758032
SM-10863,3.431199
SM-10864,2.865216
SM-10865,2.706231
SM-10866,2.645221
SM-10871,1.002877
SM-10872,3.42489
SM-10873,3.119265
SM-10874,2.212489
SM-10875,1.71287
SM-10876,1.832722
SM-10877,2.883206
SM-10878,0.858326
SM-10879,4.57866
SM-10880,1.25775
SM-10883,3.787144
SM-10884,3.994774
SM-10886,3.612717
SM-10887,4.540174
SM-10888,2.684185
SM-10889,2.329582
SM-1089,3.033993
SM-10890,1.28874
SM-10891,3.415463
SM-10892,3.014137
SM-10893,2.536749
SM-10895,2.459211
SM-10896,3.461313
SM-10898,3.742507
SM-10899,3.35424
SM-10900,3.720741
SM-10901,0.964721
SM-10902,5.082682
SM-10913,4.086174
SM-10914,4.30166
SM-10915,3.833607
SM-10916,3.813551
SM-10922,1.621139
SM-10926,2.321607
SM-10927,2.503165
SM-10929,3.006038
SM-10930,1.725218
SM-10931,2.883472
SM-10932,2.839843
SM-10933,3.39319
SM-10934,3.217653
SM-10935,2.971939
SM-10936,3.832888
SM-10939,3.153991
SM-10941,3.67756
SM-10944,2.637075
SM-10945,1.862228
SM-10948,2.617543
SM-10949,2.538062
SM-10950,1.714117
SM-10952,2.159953
SM-10954,4.416602
SM-10958,2.266305
SM-1096,7.318527
SM-10960,3.167052
SM-10962,2.758778
SM-10964,3.897368
SM-10966,3.05986
SM-10967,2.2707
SM-10968,0.908073
SM-10969,2.083132
SM-10970,3.802726
SM-10971,4.188802
SM-10972,2.513686
SM-10973,1.844395
SM-10974,1.884719
SM-10977,3.650342
SM-10979,3.794632
SM-10980,4.583513
SM-10981,4.199084
SM-10982,4.192447
SM-10983,4.072624
SM-10984,1.868271
SM-10988,3.867966
SM-10990,3.941445
SM-10991,1.721041
SM-10992,1.123888
SM-10993,2.166467
SM-10994,1.339583
SM-10997,1.336254
SM-11000,3.276265
SM-11004,1.468483
SM-11007,5.226901
SM-11008,2.172485
SM-11012,1.241681
SM-11013,1.841731
SM-11015,3.856186
SM-11016,1.673509
SM-11017,3.61336
SM-11018,2.944517
SM-11020,2.649432
SM-11021,1.09234
SM-11023,3.96482
SM-11025,3.792418
SM-11026,1.433942
SM-11027,4.018767
SM-11028,4.447134
SM-11029,2.705893
SM-11030,2.591792
SM-11032,3.194887
SM-11033,1.224824
SM-11034,1.042108
SM-11036,3.442183
SM-11037,4.300875
SM-11038,1.504282
SM-11040,0.92423
SM-11041,1.648608
SM-11043,3.221713
SM-11044,2.942705
SM-11045,1.362515
SM-11046,3.870918
SM-11048,2.962098
SM-11050,2.564893
SM-11051,3.543667
SM-11052,3.539867
SM-11053,3.013155
SM-11056,3.140855
SM-11058,3.634217
SM-11059,3.473534
SM-11060,2.935392
SM-11061,1.770042
SM-11062,2.50753
SM-11063,2.274541
SM-11064,0.222347
SM-11065,3.223791
SM-11068,3.299906
SM-11069,3.547528
SM-11071,3.010188
SM-11072,1.94791
SM-11073,1.685198
SM-11074,2.179053
SM-11075,3.384257
SM-11076,3.035458
SM-11077,1.307567
SM-11078,2.539877
SM-11079,2.950499
SM-11081,2.643864
SM-11082,3.116245
SM-11083,3.118859
SM-11084,1.740802
SM-11085,3.505882
SM-11088,2.926874
SM-11089,3.663923
SM-11091,3.434521
SM-11093,3.23732
SM-11094,3.737309
SM-11096,3.848053
SM-11098,3.668372
SM-11099,3.232053
SM-11101,4.016504
SM-11102,4.383877
SM-11103,3.612717
SM-11106,2.515983
SM-11107,2.090934
SM-11109,3.44892
SM-1111,3.915672
SM-11110,1.654766
SM-11113,3.853531
SM-11114,3.372639
SM-1112,4.140983
SM-11123,4.593719
SM-11126,3.392847
SM-11128,3.657776
SM-11129,3.642684
SM-11130,3.657679
SM-11133,4.443747
SM-11146,3.998107
SM-11150,3.852055
SM-11151,3.103493
SM-11152,3.291893
SM-11153,4.965565
SM-11155,4.87848
SM-11156,3.173982
SM-11157,3.938418
SM-11158,3.06186
SM-11161,3.680759
SM-11163,6.274648
SM-11167,3.946096
SM-11168,1.181273
SM-11169,3.435803
SM-11174,2.219967
SM-11176,4.691858
SM-11179,0.632722
SM-11180,3.938162
SM-11181,3.481099
SM-11182,2.840714
SM-11183,4.243961
SM-11184,2.491271
SM-11186,4.87447
SM-11187,3.42918
SM-11188,2.319014
SM-11190,2.015278
SM-11191,1.752836
SM-11192,1.808821
SM-11193,1.457334
SM-11194,3.260206
SM-11195,4.102127
SM-11196,4.089526
SM-11198,2.859941
SM-11199,1.817709
SM-11200,2.174915
SM-11201,1.885057
SM-11202,1.279637
SM-11203,2.235065
SM-11204,1.456631
SM-11205,1.585383
SM-11206,1.4581
SM-11210,3.280273
SM-11213,1.777508
SM-11214,4.354392
SM-11215,3.569382
SM-11216,4.353986
SM-11217,3.80248
SM-11219,1.236991
SM-11223,4.69034
SM-11224,2.637153
SM-11227,2.241207
SM-11228,2.907466
SM-11229,3.356883
SM-11230,1.94581
SM-11231,2.527399
SM-11232,2.507448
SM-11233,1.13567
SM-11234,2.037552
SM-11235,3.253416
SM-11236,2.368477
SM-11238,3.301185
SM-1124,3.116444
SM-11241,0.994289
SM-11243,3.507531
SM-11244,4.006198
SM-11247,3.058587
SM-11248,3.307008
SM-11249,3.847709
SM-11251,3.621056
SM-11252,3.398071
SM-11253,3.499733
SM-11254,3.077881
SM-11255,3.340027
SM-11256,3.335663
SM-11257,3.015018
SM-11258,2.286056
SM-11259,1.605285
SM-11260,2.166471
SM-11261,1.671039
SM-11264,3.168754
SM-11265,2.915971
SM-11266,2.603709
SM-11267,3.69967
SM-11268,3.883264
SM-11269,3.07181
SM-1127,5.14204
SM-11272,3.092068
SM-11273,2.759326
SM-11276,4.62327
SM-11277,0.71305
SM-11278,3.944477
SM-11281,3.281079
SM-11283,4.470853
SM-11285,3.373547
SM-11286,3.852441
SM-11290,1.965293
SM-11293,2.702701
SM-11294,2.700867
SM-11295,3.607881
SM-11296,3.351243
SM-11297,3.435776
SM-11299,1.815415
SM-11302,1.741767
SM-11306,1.670224
SM-11308,3.458318
SM-11309,3.3258
SM-11310,2.603566
SM-11311,1.885416
SM-11314,2.726677
SM-11315,2.916802
SM-11316,2.223655
SM-11317,1.548416
SM-11318,2.464762
SM-11319,1.011054
SM-1132,2.499135
SM-11320,1.439642
SM-11322,3.702915
SM-11324,3.924027
SM-11325,1.390939
SM-11326,1.101429
SM-11327,1.901715
SM-11328,1.302361
SM-11334,2.245301
SM-11337,3.325352
SM-11338,3.382136
SM-11339,2.072719
SM-1134,2.932755
SM-11341,1.528237
SM-11343,1.780556
SM-11344,2.501739
SM-11345,3.223687
SM-11347,2.987835
SM-11348,4.272385
SM-11349,3.482821
SM-11350,3.66465
SM-11351,4.137619
SM-11352,1.904508
SM-11354,2.096706
SM-11355,2.052034
SM-11356,3.575074
SM-11357,4.430853
SM-11358,2.583724
SM-11359,1.239799
SM-11360,1.051796
SM-11362,2.550641
SM-11363,3.592489
SM-11364,3.782858
SM-11365,2.788271
SM-11366,4.476151
SM-11367,2.731665
SM-11368,0.07078
SM-11370,3.029197
SM-11371,3.808892
SM-11372,2.269339
SM-11376,4.004843
SM-11377,4.344349
SM-11378,2.644057
SM-11379,2.477532
SM-11380,4.051228
SM-11381,3.64162
SM-11382,2.145506
SM-11383,1.283169
SM-11384,1.08276
SM-11386,3.052054
SM-1139,2.355914
SM-11390,2.798413
SM-11391,2.566691
SM-11392,2.993319
SM-11393,2.51766
SM-11394,3.066388
SM-11396,1.653768
SM-11397,0.110964
SM-11398,3.794459
SM-11401,2.046032
SM-11403,1.070364
SM-11404,2.393182
SM-11405,1.980339
SM-11406,1.914405
SM-11407,2.472746
SM-11408,2.31611
SM-11409,2.070018
SM-11410,1.925937
SM-11412,4.002883
SM-11413,2.510693
SM-11414,2.084981
SM-11415,2.492673
SM-11416,2.533085
SM-11418,3.005685
SM-1142,2.444185
SM-11420,2.728773
SM-11421,1.945783
SM-11422,1.277137
SM-11423,3.014051
SM-11424,1.634333
SM-11427,2.561091
SM-11428,3.680538
SM-11429,3.13981
SM-11430,1.811863
SM-11431,0.445111
SM-11432,1.700107
SM-11433,1.426064
SM-11434,1.459169
SM-11435,3.157854
SM-11436,1.310648
SM-11438,1.545627
SM-11439,2.651886
SM-1144,2.461478
SM-11440,2.51622
SM-11441,2.535538
SM-11442,2.151658
SM-11443,1.903913
SM-11444,3.849446
SM-11445,3.279487
SM-11446,0.198672
SM-11447,2.845057
SM-11448,3.820251
SM-11449,3.013082
SM-1145,2.460058
SM-11450,2.4542
SM-11451,2.503581
SM-11452,2.722089
SM-11453,2.979417
SM-11454,1.314948
SM-11455,1.147781
SM-11456,3.132289
SM-11457,3.358986
SM-11458,4.274408
SM-11459,3.181841
SM-1146,2.611849
SM-11460,3.729025
SM-11462,3.415477
SM-11464,4.261441
SM-11465,3.099857
SM-11466,3.49239
SM-11467,2.677788
SM-11468,2.106502
SM-11469,2.750903
SM-1147,2.646793
SM-11470,1.765954
SM-11474,0.324696
SM-11475,4.008989
SM-11476,2.423517
SM-11477,2.968699
SM-11478,2.955269
SM-11479,2.2778
SM-1148,2.470353
SM-11482,3.940313
SM-11483,3.941479
SM-11484,1.050985
SM-11485,2.37204
SM-11486,1.430705
SM-11487,3.611687
SM-11488,3.565717
SM-1149,2.309717
SM-11492,3.711241
SM-11493,2.057749
SM-11494,1.493023
SM-11495,1.135146
SM-11496,3.580804
SM-11497,3.332522
SM-11498,2.290455
SM-11499,3.55252
SM-11500,3.927964
SM-11501,3.798381
SM-11502,3.572249
SM-11504,3.306734
SM-11505,3.347724
SM-11506,1.397586
SM-11507,3.376819
SM-11509,2.00606
SM-11510,1.809351
SM-11511,2.191785
SM-11513,3.331792
SM-11514,1.292867
SM-11515,1.453617
SM-11516,1.394133
SM-11517,3.187377
SM-11518,3.780552
SM-11519,1.249988
SM-1152,2.161385
SM-11521,1.406765
SM-11522,1.79176
SM-11524,2.269105
SM-11525,3.284625
SM-11526,3.533932
SM-11527,1.789779
SM-11528,1.663937
SM-11529,1.550904
SM-1153,0.856
SM-11530,1.725427
SM-11531,4.093261
SM-11532,2.980069
SM-11534,1.945795
SM-11535,4.070758
SM-11536,4.037035
SM-11538,5.708536
SM-11539,4.651282
SM-11542,2.285912
SM-11543,4.161419
SM-11544,2.126604
SM-11545,1.517262
SM-11546,2.729345
SM-11547,1.914395
SM-11548,3.689978
SM-11549,2.771136
SM-11550,2.31445
SM-11551,1.794253
SM-11552,3.550914
SM-11553,3.770014
SM-11554,3.422576
SM-11555,2.794236
SM-11558,1.647126
SM-11561,4.555485
SM-11564,2.08875
SM-11565,1.618931
SM-11566,2.269563
SM-11567,2.75565
SM-11568,2.65285
SM-11569,0.248166
SM-11571,3.739441
SM-11572,3.488013
SM-11573,3.957097
SM-11574,2.584285
SM-11576,1.297701
SM-11577,2.271872
SM-11578,1.317878
SM-11579,0.859778
SM-11580,3.307188
SM-11581,1.472312
SM-11582,1.949592
SM-11583,2.82041
SM-11584,2.572854
SM-11585,2.665853
SM-11586,2.89722
SM-11588,2.864903
SM-11589,2.758276
SM-11590,2.606668
SM-11595,1.936964
SM-11598,2.779237
SM-11599,3.905113
SM-11600,3.392524
SM-11601,4.391544
SM-11602,3.10341
SM-11603,3.622728
SM-11605,3.416072
SM-11606,3.280984
SM-11607,3.26757
SM-11608,0.416276
SM-11609,3.747074
SM-11610,3.560103
SM-11614,3.960164
SM-11615,3.696272
SM-11620,3.040524
SM-11622,2.401774
SM-11624,3.100996
SM-11627,3.321436
SM-11629,4.517151
SM-11630,3.437896
SM-11631,3.892505
SM-11633,4.084744
SM-11636,3.622005
SM-11638,3.265746
SM-11639,2.780737
SM-11640,3.301565
SM-11641,4.153487
SM-11642,3.038764
SM-11643,3.726121
SM-11647,3.281032
SM-11648,1.765901
SM-11649,3.475728
SM-11650,3.401404
SM-11653,5.721308
SM-11654,1.739297
SM-11660,5.507732
SM-11661,3.241331
SM-11662,2.91451
SM-11665,3.179814
SM-11666,4.216027
SM-11667,3.675017
SM-11669,4.041032
SM-11670,1.55437
SM-11671,4.200204
SM-11672,4.284822
SM-11674,3.141352
SM-11675,3.629114
SM-11676,3.502572
SM-11677,3.485523
SM-11678,3.961663
SM-11679,3.792661
SM-11680,3.374215
SM-11681,3.703882
SM-11682,3.994766
SM-11685,4.078922
SM-11686,3.700961
SM-11687,2.613522
SM-11691,4.767754
SM-11694,4.634777
SM-11695,3.904111
SM-11696,3.354462
SM-11697,3.176526
SM-11700,2.776862
SM-11701,2.593069
SM-11705,3.443332
SM-11709,4.032143
SM-1171,1.208446
SM-11710,4.022476
SM-11714,3.374088
SM-11716,3.888468
SM-11717,3.92393
SM-11719,3.425209
SM-11720,3.063111
SM-11721,4.039417
SM-11722,3.804182
SM-11723,4.080989
SM-11725,4.254985
SM-11726,4.266316
SM-11730,0.928167
SM-11735,0.35493
SM-11744,3.67956
SM-11746,3.605648
SM-11748,2.40141
SM-11750,0.81469
SM-11751,3.923859
SM-11752,2.277703
SM-11754,3.569388
SM-11755,2.371747
SM-11756,0.739466
SM-11758,2.995861
SM-11759,3.164623
SM-11760,3.969654
SM-11761,3.817142
SM-11762,2.373916
SM-11763,3.454
SM-11764,4.976059
SM-11766,2.454384
SM-11767,2.295615
SM-11769,4.161466
SM-11770,3.037386
SM-11771,1.519499
SM-11772,0.649161
SM-11773,0.493351
SM-11774,2.263188
SM-11775,0.967183
SM-11776,0.49024
SM-11777,1.064889
SM-11778,0.523149
SM-11779,2.567754
SM-11780,6.484299
SM-11781,1.203293
SM-11782,3.984117
SM-11783,3.326303
SM-11784,0.61247
SM-11785,3.247651
SM-11786,4.348265
SM-11787,3.075651
SM-11788,2.620423
SM-11789,2.092617
SM-11791,4.122818
SM-11792,2.445265
SM-11794,2.519223
SM-11795,4.489124
SM-11796,2.964039
SM-11797,2.759425
SM-11799,4.164554
SM-11801,3.898748
SM-11802,4.728555
SM-11803,4.727176
SM-11804,1.73527
SM-11805,2.936274
SM-11806,2.634345
SM-11807,2.930723
SM-11808,3.633943
SM-11809,2.669572
SM-11810,0.6136
SM-11811,3.678122
SM-11813,4.096468
SM-11814,0.05226
SM-11815,4.410453
SM-11817,0.684164
SM-11818,4.392312
SM-11819,2.484803
SM-11820,4.120311
SM-11821,3.732149
SM-11822,1.930042
SM-11823,4.386392
SM-11824,0.881632
SM-11825,2.513345
SM-11826,1.569812
SM-11827,1.816167
SM-11829,2.128254
SM-11830,3.540149
SM-11831,4.116833
SM-11832,2.327821
SM-11833,1.5843
SM-11834,1.973634
SM-11836,1.501377
SM-11837,1.29041
SM-11838,4.099737
SM-11840,4.127183
SM-11842,3.596086
SM-11843,1.934702
SM-11844,1.828321
SM-11845,1.740209
SM-11846,4.077158
SM-11847,2.525767
SM-1185,0.099596
SM-11850,3.430605
SM-11851,3.196072
SM-11852,1.810302
SM-11854,3.249707
SM-11856,3.469665
SM-11857,3.603172
SM-11861,1.793397
SM-11865,3.747122
SM-11866,3.064233
SM-11869,2.235412
SM-11870,3.435056
SM-11871,2.809098
SM-11872,2.160552
SM-11873,3.831859
SM-11874,3.079428
SM-11875,3.753288
SM-11878,3.592327
SM-11881,3.298524
SM-11882,2.147008
SM-11885,2.798801
SM-11886,3.016146
SM-11887,3.015993
SM-11888,3.497868
SM-1189,1.300365
SM-11890,3.929639
SM-11894,2.805369
SM-11898,3.197921
SM-11901,3.118274
SM-11904,3.252347
SM-11905,2.92368
SM-11906,2.571178
SM-11907,2.507015
SM-11908,2.510862
SM-11910,3.530408
SM-11911,2.52884
SM-11912,2.158459
SM-11913,3.401093
SM-11914,4.454084
SM-11916,4.08514
SM-11917,1.54861
SM-11918,2.051621
SM-11919,2.502132
SM-11920,1.694476
SM-11921,1.89159
SM-11923,3.188517
SM-11924,0.556047
SM-11925,3.096801
SM-11926,0.461939
SM-11927,2.679206
SM-11928,2.10258
SM-11929,3.270207
SM-11930,3.256689
SM-11931,1.908735
SM-11933,2.452398
SM-11934,2.864172
SM-11935,3.121607
SM-11936,2.162994
SM-11937,2.327159
SM-11939,2.891834
SM-11940,1.814798
SM-11942,2.71254
SM-11943,2.988322
SM-11944,3.108939
SM-11945,3.195613
SM-11946,2.629618
SM-11947,3.749148
SM-11948,2.887638
SM-11949,2.346153
SM-11950,2.373464
SM-11951,3.110625
SM-11952,3.164856
SM-11953,3.153605
SM-11954,3.020488
SM-11955,2.804766
SM-11956,3.5246
SM-11957,3.774152
SM-11958,3.860508
SM-11959,3.790852
SM-11961,5.20935
SM-11963,2.611402
SM-11965,3.750801
SM-11967,3.801184
SM-11968,3.567356
SM-11969,3.501119
SM-11970,2.834046
SM-11971,3.509846
SM-11972,2.478302
SM-11974,2.0774
SM-11976,3.523306
SM-11977,3.959693
SM-11979,3.41245
SM-11980,3.038562
SM-11981,1.83859
SM-11982,2.969648
SM-11983,4.022376
SM-11984,2.719309
SM-11985,1.556086
SM-11986,1.496093
SM-11987,3.064109
SM-11988,2.537506
SM-11989,4.201129
SM-1199,4.191422
SM-11991,1.40768
SM-11992,1.785025
SM-11993,1.167797
SM-11994,0.602268
SM-11996,1.94835
SM-11997,2.419956
SM-1200,7.088848
SM-12000,4.599855
SM-12001,4.542307
SM-12002,4.753443
SM-12003,4.036163
SM-12004,2.507427
SM-12005,2.276464
SM-12006,4.956381
SM-12008,3.248549
SM-12009,4.293992
SM-12010,3.595597
SM-12011,1.552585
SM-12017,4.009745
SM-12021,2.76871
SM-12022,2.896107
SM-12024,2.464149
SM-12025,2.502542
SM-12026,2.364058
SM-12027,2.974336
SM-12030,3.356991
SM-12031,2.884149
SM-12034,0.091894
SM-12035,3.325246
SM-12036,0.73867
SM-12037,2.616896
SM-12038,2.03388
SM-1204,7.106375
SM-12041,4.124077
SM-12042,3.966187
SM-12043,2.543352
SM-12044,4.15387
SM-12045,2.471035
SM-12046,2.920148
SM-12047,2.628492
SM-12048,3.936516
SM-12049,2.605309
SM-12050,1.790264
SM-12052,4.129206
SM-12053,4.10367
SM-12055,3.341587
SM-12058,4.327951
SM-12059,2.749091
SM-12060,3.796337
SM-12061,2.668225
SM-12062,3.831166
SM-12063,3.978655
SM-12064,2.739567
SM-12065,0.771585
